Fecha,Ingresos
2023-01-01,349.38
2023-01-02,352.77
2023-01-03,424.11
2023-01-04,427.62
2023-01-05,359.72
2023-01-06,315.43
2023-01-07,441.59
2023-01-08,464.74
2023-01-09,462.06
2023-01-10,411.3
2023-01-11,409.85
2023-01-12,460.12
2023-01-13,471.69
2023-01-14,499.14
2023-01-15,425.68
2023-01-16,373.93
2023-01-17,475.7
2023-01-18,504.21
2023-01-19,564.84
2023-01-20,630.28
2023-01-21,629.59
2023-01-22,542.83
2023-01-23,570.32
2023-01-24,541.81
2023-01-25,468.93
2023-01-26,479.59
2023-01-27,546.78
2023-01-28,579.17
2023-01-29,537.38
2023-01-30,444.7
2023-01-31,505.79
2023-02-01,435.15
2023-02-02,468.38
2023-02-03,520.12
2023-02-04,508.24
2023-02-05,481.42
2023-02-06,451.42
2023-02-07,490.92
2023-02-08,459.07
2023-02-09,335.39
2023-02-10,459.24
2023-02-11,461.29
2023-02-12,488.97
2023-02-13,436.16
2023-02-14,470.69
2023-02-15,446.12
2023-02-16,403.12
2023-02-17,428.89
2023-02-18,454.88
2023-02-19,513.35
2023-02-20,513.76
2023-02-21,461.79
2023-02-22,496.65
2023-02-23,501.69
2023-02-24,481.02
2023-02-25,468.0
2023-02-26,491.52
2023-02-27,593.49
2023-02-28,573.16
2023-03-01,621.56
2023-03-02,541.66
2023-03-03,451.42
2023-03-04,487.8
2023-03-05,503.63
2023-03-06,566.26
2023-03-07,549.9
2023-03-08,474.68
2023-03-09,478.86
2023-03-10,484.7
2023-03-11,541.33
2023-03-12,529.79
2023-03-13,475.91
2023-03-14,435.4
2023-03-15,429.25
2023-03-16,464.5
2023-03-17,549.1
2023-03-18,550.01
2023-03-19,548.14
2023-03-20,551.95
2023-03-21,491.58
2023-03-22,503.22
2023-03-23,500.34
2023-03-24,518.93
2023-03-25,534.98
2023-03-26,620.48
2023-03-27,547.4
2023-03-28,473.44
2023-03-29,471.72
2023-03-30,456.44
2023-03-31,540.47
2023-04-01,594.09
2023-04-02,618.3
2023-04-03,562.63
2023-04-04,577.97
2023-04-05,576.04
2023-04-06,462.05
2023-04-07,432.77
2023-04-08,479.47
2023-04-09,619.11
2023-04-10,636.52
2023-04-11,526.72
2023-04-12,386.72
2023-04-13,384.84
2023-04-14,432.14
2023-04-15,454.74
2023-04-16,466.89
2023-04-17,529.79
2023-04-18,563.96
2023-04-19,600.14
2023-04-20,591.83
2023-04-21,547.03
2023-04-22,557.78
2023-04-23,508.73
2023-04-24,579.28
2023-04-25,446.82
2023-04-26,491.14
2023-04-27,484.75
2023-04-28,421.72
2023-04-29,520.45
2023-04-30,571.41
2023-05-01,623.9
2023-05-02,587.64
2023-05-03,518.16
2023-05-04,531.37
2023-05-05,555.24
2023-05-06,476.87
2023-05-07,398.24
2023-05-08,417.05
2023-05-09,376.78
2023-05-10,387.93
2023-05-11,482.28
2023-05-12,558.96
2023-05-13,596.63
2023-05-14,540.78
2023-05-15,590.85
2023-05-16,489.1
2023-05-17,368.79
2023-05-18,396.45
2023-05-19,432.46
2023-05-20,516.69
2023-05-21,505.72
2023-05-22,481.03
2023-05-23,481.58
2023-05-24,474.51
2023-05-25,598.16
2023-05-26,616.64
2023-05-27,568.44
